Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	VAN.30.7.5	VAN.42.10.5	VAN.42.11.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	VAN.30.7.5.Norm	VAN.42.10.5.Norm	VAN.42.11.5.Norm
SMUF2_HUMAN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41.6007345091598	0	0	0	0	0
SMYD3_HUMAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30.3869151871674	0	0	0	0	0	0
SNAA_HUMAN	8	6	11	7	14	11	5	4	9	7	4	4	244.11857060758	214.829757708505	438.464675432764	285.058400256261	283.845777595193	334.256067058841	208.003672545799	171.161536740618	379.136559685537	290.271138749197	183.269597557018	145.397335488341
SNAG_HUMAN	4	3	3	2	5	3	2	2	5	1	2	4	122.05928530379	107.414878854252	119.581275118026	81.4452572160745	101.373491998283	91.1607455615021	83.2014690183197	85.5807683703091	210.631422047521	41.4673055355995	91.6347987785089	145.397335488341
SNAPN_HUMAN	4	3	0	0	2	3	0	0	2	1	1	0	122.05928530379	107.414878854252	0	0	40.5493967993132	91.1607455615021	0	0	84.2525688190082	41.4673055355995	45.8173993892544	0
SND1_HUMAN	22	29	19	25	43	34	21	35	32	23	12	16	671.326069170846	1038.34382892444	757.348075747501	1018.06571520093	871.812031185234	1033.15511636369	873.615424692357	1497.66344648041	1348.04110110413	953.748027318789	549.808792671053	581.589341953362
SNF8_HUMAN	3	3	1	2	2	2	1	2	2	2	1	2	91.5444639778427	107.414878854252	39.8604250393421	81.4452572160745	40.5493967993132	60.7738303743347	41.6007345091598	85.5807683703091	84.2525688190082	82.934611071199	45.8173993892544	72.6986677441703
SNG2_HUMAN	1	0	0	0	0	0	0	1	0	0	0	0	30.5148213259476	0	0	0	0	0	0	42.7903841851546	0	0	0	0
SNP23_HUMAN	1	1	3	2	0	2	1	2	1	1	2	3	30.5148213259476	35.8049596180841	119.581275118026	81.4452572160745	0	60.7738303743347	41.6007345091598	85.5807683703091	42.1262844095041	41.4673055355995	91.6347987785089	109.048001616255
SNP29_HUMAN	3	1	2	1	2	3	1	0	1	0	0	2	91.5444639778427	35.8049596180841	79.7208500786843	40.7226286080373	40.5493967993132	91.1607455615021	41.6007345091598	0	42.1262844095041	0	0	72.6986677441703
SNR40_HUMAN	2	1	0	1	1	1	2	0	1	0	0	1	61.0296426518951	35.8049596180841	0	40.7226286080373	20.2746983996566	30.3869151871674	83.2014690183197	0	42.1262844095041	0	0	36.3493338720851
SNRPA_HUMAN	3	3	2	2	4	2	2	1	1	1	1	2	91.5444639778427	107.414878854252	79.7208500786843	81.4452572160745	81.0987935986265	60.7738303743347	83.2014690183197	42.7903841851546	42.1262844095041	41.4673055355995	45.8173993892544	72.6986677441703
SNTB1_HUMAN	8	8	10	8	13	8	8	8	6	8	5	6	244.11857060758	286.439676944673	398.604250393421	325.781028864298	263.571079195536	243.095321497339	332.805876073279	342.323073481237	252.757706457025	331.738444284796	229.086996946272	218.096003232511
SNTB2_HUMAN	2	3	3	6	8	5	4	4	6	5	2	2	61.0296426518951	107.414878854252	119.581275118026	244.335771648223	162.197587197253	151.934575935837	166.402938036639	171.161536740618	252.757706457025	207.336527677998	91.6347987785089	72.6986677441703
SNUT1_HUMAN	1	1	1	2	3	4	3	2	2	1	0	0	30.5148213259476	35.8049596180841	39.8604250393421	81.4452572160745	60.8240951989698	121.547660748669	124.80220352748	85.5807683703091	84.2525688190082	41.4673055355995	0	0
SNUT2_HUMAN	0	0	2	0	0	1	0	0	0	0	0	0	0	0	79.7208500786843	0	0	30.3869151871674	0	0	0	0	0	0
SNW1_HUMAN	2	0	0	0	4	1	0	0	1	0	1	1	61.0296426518951	0	0	0	81.0987935986265	30.3869151871674	0	0	42.1262844095041	0	45.8173993892544	36.3493338720851
